"Freq [kHz]"	"Leakage_Inductance_12 []"	"Leakage_Inductance_13 []"	"Leakage_Inductance_23 []"
1	7.4319936400294e-08	3.50724537736639e-08	1.36464437406644e-07
2.15443469003188	7.430034654786e-08	3.50406702930456e-08	1.36457423641054e-07
4.64158883361278	7.42200300514038e-08	3.49107227787582e-08	1.36428635037243e-07
10	7.39858565136753e-08	3.45362951196281e-08	1.36343488521634e-07
21.5443469003188	7.3657999068041e-08	3.40421852630645e-08	1.36208289906308e-07
46.4158883361278	7.33960384730463e-08	3.3763000362353e-08	1.36021663472007e-07
100	7.30449652720136e-08	3.35939162457038e-08	1.35600036141759e-07
