"Freq [kHz]"	"Leakage_Inductance_12 [nH]"	"Leakage_Inductance_13 [nH]"	"Leakage_Inductance_14 [nH]"	"Leakage_Inductance_23 [nH]"	"Leakage_Inductance_24 [nH]"	"Leakage_Inductance_34 [nH]"
1	72.8923630869965	133.722874750165	78.4748346831064	12.5516964228284	24.6117031412724	15.7788624632902
2.15443469003188	72.8923288965069	133.722657246518	78.474801098695	12.551660175643	24.6116823732102	15.7788361541697
4.64158883361278	72.8921597964151	133.72160714235	78.4746417126589	12.551489924019	24.6115845181564	15.7787131424932
10	72.8913546848461	133.71666363461	78.4739013277238	12.5506980848826	24.6111300140015	15.7781429320765
21.5443469003188	72.8876220763249	133.693946264845	78.4706026992468	12.5470762415012	24.6090764579663	15.7755526783857
46.4158883361278	72.8711787864653	133.596016657417	78.4577445305597	12.5314512174039	24.6006028403263	15.7646107242637
100	72.8076334941045	133.24861734244	78.4227030966382	12.4755840690363	24.5731229503278	15.7273008947338
215.443469003188	72.6108753585996	132.436453297135	78.3683137571642	12.3400327965946	24.5094027265525	15.6436157776931
464.158883361278	72.1830785540594	131.413149103597	78.3101122802482	12.1431927579543	24.3987834365976	15.5409663932251
500	72.1311301492905	131.32090460392	78.3043552865034	12.1234319716059	24.3861818526359	15.5318570418037
1000	71.6375431330897	130.522082831051	78.2387298540447	11.9506126491511	24.2664345969469	15.4526797165769
